gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion,gi
9550,23168,7.5,7039.5,0,6.5,0,15.5,0,0,8.5,358.5,4341.5,10900,15565,17784,9.5,7.5,0,8,1,1,SL
51258,3949,11.5,1041,0,9.5,0,15.5,0,0,12.5,169,3166,10658,14578.5,17286,40,11.5,0,26,0,0,SL
983,53918,45.5,248883.5,0,11.5,0,14.5,0,0,46.5,1748.5,7957,13457.5,16891.5,18531,139,45.5,0,3,10,10,SL
4088,79102,67,368623,0,16.5,0,14.5,0,0,68,1819.5,8811.5,14535.5,17394.5,18905.5,237.5,67,0,9,5,7,NOT
13052,1656,16,52239,0,7,0.5,16.5,0,0,17,444.5,3699.5,6738,8638,9840,27,16,0,4,4,4,NOT
1069,55651,7.5,25281,0,5.5,0,15.5,0,0,8.5,241,4167,10844.5,15645,17800.5,6,7.5,0,3,15,19,SL
135112,825107,1.5,0.5,0,1,0.5,8,0,0,2.5,230,2567.5,6262,8338,9138,0,1.5,0,3,18,19,NOT
23167,9554,13.5,21096.5,0,8,0.5,16,0,0,14.5,1223.5,5307,11244.5,15676.5,17785.5,45.5,13.5,0,3,7,7,SL
14463,2645,3.5,65536,0,2,0,15.5,0,0,4.5,70.5,1741.5,7638,13404.5,16920,1,3.5,0,3,19,20,NOT
3376,79109,15.5,33664.5,0,9.5,0,15.5,0,0,16.5,859,6987.5,13181.5,16642,18337.5,38,15.5,0,4,1,1,SL
7157,3845,478.5,13625073.5,0,24.5,0,14.5,0.5,0.5,479.5,4817,12163.5,15970,17875,19297,2251.5,478.5,0,6,1,1,SL
10450,402,14,16212,0,8.5,0,16,0,0,15,283,3266.5,8176,13572.5,16915,44.5,14,0,6,1,2,SL
330914,1088,2,4189.5,0,2,0.5,17,0,0,3,33,255.5,2966,10356.5,15463,0,2,0,2,5,5,NOT
3265,84233,65.5,378382,0,9.5,0.5,16,0,0,66.5,931,5639.5,11485,14837.5,17525,116.5,65.5,0,6,1,1,SL
21,5504,6,12038.5,0,5,0,16,0,0,7,862.5,5749,11506.5,15732,17980,6.5,6,0,6,2,2,SL
4056,94,3,3340.5,0,2.5,0.5,16.5,0,0,4,63,1788,7036.5,12672,16063.5,0,3,0,3,8,8,SL
79577,79753,35.5,69085,0,16,0,15,0,0,36.5,1172.5,7941,13863,17166,18604,81.5,35.5,0,2,7,7,SL
285231,175726,2.5,67599,0,1.5,0.5,18,0,0,3.5,12.5,82.5,1658,6166.5,8414.5,1,2.5,0,3,5,5,NOT
151648,80218,5.5,2266,0,4.5,0,16,0,0,6.5,180,3718.5,10514.5,15119.5,17621,3.5,5.5,0,10,1,1,SL
10845,6582,7,18699.5,0,6,0.5,16.5,0,0,8,794.5,3700,7863,13071.5,16413,6.5,7,0,8,4,4,SL
831689,172236,1,0,1,1,1,1,0,0,2,2,2,2,2,2,0,1,0,9,1,1,NOT
10726,10973,13,30333,0,8,0,16,0,0,14,946.5,6433,12430.5,16225.5,18100,8,13,0,7,1,1,SL
23327,190051,41,350784,0.5,10.5,0.5,8,0,0,42,857.5,4703.5,7515.5,8711.5,9440,38.5,41,0,4,4,4,NOT
851928,855284,22,184424,0,4.5,0,17,0,0,23,287,2083,6875.5,10586.5,15255,27.5,22,0,26,0,0,NOT
