V4,V2
1634,Q6FH10
1634,A0A024RBG6
1635,DCTD
1636,ACE
1636,B4DKH4
1639,DCTN1
1639,Q6MZZ3
1641,DCX
1641,A0A7P0T9C5
1641,A8K340
1642,DDB1
1643,DDB2
1645,AK1C1
1647,A5JUZ3
1647,GA45A
1649,Q53YD1
1649,DDIT3
1650,OST48
1650,A0A024RAD5
1653,DDX1
1653,A3RJH1
1654,A0A2R8Y7T2
1654,A0A2R8YFS5
1654,DDX3X
1655,J3KTA4
1655,DDX5
1656,B2R858
1656,DDX6
1659,Q86YB2
1659,B7Z8F4
1659,F5H658
1659,Q05CV4
1659,DHX8
1660,B3KU66
1660,DHX9
1665,DHX15
1670,DEF5
1674,Q53SB5
1674,DESM
1676,A0A024R4H5
1676,DFFA
1677,Q96P74
1677,DFFB
1677,B4DZS0
1677,Q96P73
1677,Q96P72
1678,TIM8A
1678,A0A2R8YDA8
1719,B0YJ76
1719,B4DM58
1719,DYR
1725,DHYS
1725,A0A024R7D0
1725,A0A024R7E9
1727,NB5R3
1728,B4DLR8
1728,NQO1
1729,A0A2R8Y5N1
1729,DIAP1
1729,Q6URC4
1731,J3KNL2
1731,SEPT1
1734,A8K845
1734,IOD2
1736,DKC1
1737,Q86YI5
1737,ODP2
1738,DLDH
1738,E9PEX6
1738,A0A024R713
1739,DLG1
1739,A0A590UJ08
1739,B4DF78
1739,A0A0C4DFT3
1740,DLG2
1740,B7Z2T4
1741,Q59FY1
1741,DLG3
1742,B7Z647
1742,DLG4
1742,B9EGL1
1742,B7Z4H2
1743,A0A024R6C9
1743,B7Z6J1
1743,ODO2
1746,Q53QU7
1746,X5D7D8
1746,DLX2
1755,DMBT1
1755,A0A590UJ76
1756,Q16484
1756,Q4G0X0
1756,A0A0S2Z3J7
1756,DMD
1756,A7E212
1756,A0A0S2Z3B5
1758,DMP1
1759,B7ZAC0
1759,B4DK06
1759,DYN1
1760,B4DM55
1760,E5KR06
1760,E5KR07
1760,I6L989
1760,B4DZE2
1760,E5KR05
1760,DMPK
1763,DNA2
1778,DYHC1
1780,Q8N542
1780,A4D1I7
1780,DC1I1
1781,B4DPZ3
1781,DC1I2
1781,A0A140VKE9
1783,A0A024R6Z0
1783,DC1L2
1783,Q63HJ8
1785,Q8N1K8
1785,DYN2
1786,I6L9H2
1786,DNMT1
1786,Q59FP7
1788,Q59HC6
1788,F8WE91
1788,A0A0C4DG02
1788,DNM3A
1789,DNM3B
1791,TDT
1793,B2RUU3
1793,DOCK1
1793,A0A2X0U2H5
1795,DOCK3
1796,B4DJN1
1796,Q2TA81
1796,DOK1
1796,B3KP83
1796,Q14CB2
1800,A0A140VJI3
1800,DPEP1
1803,DPP4
1804,E9PF59
1804,A7E2E4
1804,Q8IYG9
1804,DPP6
1804,B7Z299
1804,E9PDL2
1806,DPYD
1808,A0A1C7CYX9
1808,DPYL2
1808,Q59GB4
1809,DPYL3
1809,Q8IXW6
1809,Q6DEN2
1809,A0A140VK07
1810,Q658N3
1810,NC2B
1812,DRD1
1813,A0A024R3I6
1813,DRD2
1813,A0A024R3C5
1814,E9PCM4
1814,A1A4V4
1814,X5D2G4
1814,A8K8E4
1814,DRD3
1815,DRD4
1816,DRD5
1819,DRG2
1819,A8MZF9
1820,ARI3A
1821,DRP2
