gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
856864,2993,4.5,1182,0,4,0.5,16.5,0,0,5.5,609.5,1885.5,6123,12492.5,16272.5,9,4.5,0,2,36,37
2542615,34872,8,389607.5,0,2,0.5,18.5,0,0,9,28,81,284.5,2040,7235,8,8,0,26,0,0
853529,172644,11.5,35401.5,0.5,4,0.5,9,0,0,12.5,235.5,1537.5,3473,6973.5,8474.5,6.5,11.5,0,3,7,7
855013,7189,87,1009451.5,0,15,0,15.5,0,0,88,1644,8212,14904,17224,18527.5,238.5,87,0,11,1,1
7184,180263,26,66789.5,0,10,0.5,16.5,0,0,27,1620,5130.5,7585.5,8841,9712.5,82.5,26,0,9,2,3
828570,172179,1.5,3943,0,1.5,0.5,21.5,0,0,2.5,11,17.5,67,113.5,235.5,0,1.5,0,3,9,9
851761,852437,4,1766,0,3.5,0.5,17.5,0,0,5,42.5,1445,3642,7516,14321.5,4,4,0,4,7,7
58186,821982,1,0,0.5,1,1,9,0,0,2,3.5,5.5,102.5,1712.5,5559,0,1,0,12,2,2
6950,839929,26.5,33775,0,10.5,0.5,17.5,0,0,27.5,1117,4729.5,7575,9073,10019,144,26.5,0,6,3,3
353115,816993,1,0,0.5,1,1,11.5,0,0,2,9,17,84,228.5,497,0,1,0,5,6,6
11016,852358,4,855.5,0,4,0.5,16,0,0,5,131,2348.5,7492,13718.5,17157,2,4,0,4,2,2
