gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
6494,7019,13.5,45096.5,0,8.5,0.5,15,0,0,14.5,1274,6500,11816,16332,18302.5,32,13.5,0,2,25,27
51375,22983,2.5,72,0,2.5,0,16,0,0,3.5,171,2889.5,7992,13389.5,16819,0.5,2.5,0,4,7,7
55084,8535,20,45464.5,0,9,0.5,15,0,0,21,618,4654.5,10872,15711,18013.5,62,20,0,4,4,5
6714,6256,90.5,808200,0,19.5,0,15,0,0,91.5,2743,9362,14403,17479,19051.5,340,90.5,0,5,6,6
6769,23762,1.5,93,0,1.5,0.5,16,0,0,2.5,104,3044.5,9763,14136.5,17151,0,1.5,0,4,3,3
29888,3913,11,1325,0,7.5,0.5,16,0,0,12,201.5,3279,9992.5,14967,17569.5,67.5,11,0,3,9,9
9014,6645,10.5,17871,0,6.5,0,15,0,0,11.5,431,4575,11748,15956.5,17995.5,12.5,10.5,0,2,39,39
85461,22983,3,882.5,0,3,0,16,0,0,4,452.5,4759.5,11214.5,15599,17854.5,0.5,3,0,2,27,27
29110,3717,50.5,176426,0,18.5,0,15,0,0,51.5,1995,9099.5,14273.5,17177.5,18669.5,143,50.5,0,3,10,10
6943,7153,19,40547.5,0,11.5,0,15,0,0,20,1612,5833.5,12192,16393.5,18390.5,55,19,0,3,2,2
