V1,V2
ICT1,MED24
ICT1,TAZ
ICT1,TIMELESS
ICT1,TIMM23B
IMPDH2,PTTG1
IMPDH2,SKA3
INTS3,LEO1
INTS3,NCAPD2
INTS3,SSB
INTS3,XRN2
INTS5,LEO1
INTS5,LUC7L3
INTS5,MASTL
INTS5,MAT2A
INTS5,MED14
INTS5,MED23
INTS5,MED28
INTS5,NCAPD2
INTS5,NCBP1
INTS5,NDUFB2
INTS5,NFYC
INTS5,NOL8
INTS5,OGFOD1
INTS5,POLR2K
INTS5,PSMD1
INTS5,PSMD12
INTS5,RBM25
INTS5,RPL35
INTS5,SLC39A9
INTS5,SNRPD3
INTS5,SNRPG
INTS5,TBCB
INTS5,TUBGCP4
INTS5,WDR61
INTS5,WDR7
INTS5,WDR70
INTS5,XPO1
KARS,LEO1
KARS,WDR61
KCTD10,KIF14
KCTD10,LUC7L3
KCTD10,MINOS1-NBL1
KCTD10,MRPL22
KCTD10,MRPL36
KCTD10,MRPL37
KCTD10,MRPL42
KCTD10,MRPL46
KCTD10,MRPS10
KCTD10,MRPS21
KCTD10,MRPS5
KCTD10,NDUFB1
KCTD10,NDUFB4
KCTD10,PAFAH1B1
KCTD10,GATB
KCTD10,PPCS
KCTD10,PPP2R1A
KCTD10,PSMD6
KCTD10,PTCD1
KCTD10,TMEM261
KCTD10,UBA3
KDM1A,LEO1
KDM1A,NDUFA9
CEP295,LUC7L3
CEP295,MFAP1
CEP295,PAFAH1B1
CEP295,PWP1
CEP295,RPL28
CEP295,SEC22B
CEP295,SGOL1
CEP295,ZNF574
KIF14,MBTPS2
KIF14,MINOS1-NBL1
