V1,V2
CXXC1,MED8
ELP3,GEMIN5
MED7,TRRAP
GEMIN5,THOC1
BRD9,MCM2
MED12,RUVBL1
PHC2,SRCAP
MED14,SMARCD2
MED7,RUVBL1
CNOT3,MCM2
CENPA,ELP3
ACTL6A,ELP3
GEMIN5,RUVBL1
INO80,MED15
MCM2,MED14
MED7,RTF1
MED12,RTF1
GEMIN5,PBRM1
KMT2A,MCM2
ELP3,INTS9
ELP3,RTF1
KDM1A,THOC2
MED15,MED7
MED14,MED7
MED7,MED8
EPC1,PHC2
RTF1,RUVBL1
HCFC1,RTF1
GEMIN5,MED15
CXXC1,THAP3
MCM2,MED12
INO80E,SETD1A
CBX8,INO80E
MED14,MEN1
CENPA,DPY30
INTS9,MED15
HCFC1,PAF1
GEMIN5,THOC2
MED14,PAF1
INTS9,RUVBL1
PAF1,TRRAP
RBBP7,SAP30
CNOT3,MED14
CNOT3,MED15
BRD9,CNOT1
CNOT3,TRRAP
ACTL6A,GEMIN5
MED17,RBBP7
ACTR8,RBBP7
MED14,MED8
KMT2A,RTF1
CENPA,HCFC1
MED4,SMARCD2
ACTL6A,MED15
PAF1,THOC2
INTS9,MED14
MED7,THAP3
ELP3,MED14
ACTL6A,CNOT3
ACTR8,HCFC1
CNOT3,PAF1
KMT2A,MED15
CENPA,MED15
KMT2A,MED8
KMT2A,MRGBP
BRD9,CENPA
MED4,MED7
CTR9,KMT2A
MED15,PAF1
PAF1,RUVBL1
CNOT3,RTF1
KMT2A,PAF1
MED14,RTF1
BRD9,MED14
CENPA,WDR5
ACTR8,MEN1
ACTL6A,PAF1
MED14,MED15
CXXC1,INO80D
MED14,TRRAP
EP400,MED7
MED15,RTF1
ELP3,TRRAP
KMT2A,MED14
ACTR8,MBD2
HCFC1,MED15
MED14,PHC2
MED15,TRRAP
CKM,PDK2
EPRS,PTPRZ1
HMGCR,PLA2G4C
BCL2L2,SKP2
FGFR4,P2RY6
CHD1,MASP2
CAMK2A,EHMT2
CLK3,GHSR
CA9,NAGK
LTB4R,MAP2K5
MCL1,PDK2
ACVR1,CKM
MAPK3,PFKFB1
AGPAT1,PRKAR1A
ACY1,EPHB2
AKT2,PRKAB1
PPP1CC,TXN
CDK5,NDUFA4L2
CAMK1G,CD22
CD22,PLA2G4C
CDK5,EGFR
ACY1,CAMK2B
EPHB2,SRC
EGFR,IGF1R
CAMK2A,EGFR
EDA,MST1R
GCK,PNMT
ATR,EDA
NOS2,PFKFB1
CDC25B,EPHA2
ITGA6,MAPK8IP1
KDM1A,RELA
CDK12,OXT
AKT2,PARP1
APEX1,KDM1A
PLA2G4C,PRKDC
NDUFA4L2,NTRK1
MMP25,XIAP
ERBB2,PIK3CA
CSF3R,SPHK2
AKT2,GRM2
EHMT2,SLC16A8
CAMK2B,PARP1
AMHR2,INPP1
MMP14,SLC16A8
PIM1,XPO1
MAP3K5,NPY4R
AKT2,GHSR
AANAT,SPHK1
EPHA2,NTRK1
CIT,PRKAB1
MST1R,PRKAB1
EGFR,JAK3
GHSR,P2RY6
LTC4S,TAOK2
AKT1,NTRK1
MMP14,PNMT
CSK,EHMT2
CSF1R,LARS2
JAK3,PRKAB1
EDA,RPS6KA2
CSK,PDK2
EPHA2,HCK
KCNA3,PTP4A3
ADRBK1,ERBB2
NDUFB1,NT5M
JAK3,PRKDC
PNMT,RPS6KA4
MAP4K1,UCK2
MAP3K8,NDUFA4
JAK3,SSTR4
DCK,JAK3
BSG,PIK3CA
CDK8,HCRTR1
CKM,TAOK2
AKT2,CDK5
CASK,MASP2
AXL,EDA
PRKAA1,SPHK2
BSG,CAMK2A
MASP2,SLC16A8
GHSR,UCK2
DDR1,PIM1
MASP2,RPS6KA4
INPP1,PLOD1
ATR,BCAT2
AXL,INPP1
ACY1,DBH
ACY1,PRODH
ATR,CDK2
